	id	url	simply_words_count	simply_software_stat	simply_bug_stat	simply_collocations	simply_is_news
0	42	http://www.denverpost.com/2016/09/28/ask-amy-adult-daughter-of-alcoholic-continues-to-struggle/	6146	{'program': 1, 'fix': 2}	{'problem': 1, 'mistake': 1}	[]	True
1	77	https://www.theguardian.com/technology/2016/sep/28/google-facebook-powerful-secretive-empire-transparency	8020	{'technology': 4, 'technical': 1, 'server': 1}	{'failure': 1, 'problem': 1}	[]	True
2	81	http://www.gladstoneobserver.com.au/news/child-abduction-accused-fronts-court/3094736/	4542	{'application': 1, 'server': 1}	{'error': 3}	[]	True
3	125	http://www.ohio.com/news/break-news/local-republicans-party-atmosphere-gives-way-to-examination-of-trump-and-clinton-debate-performances-at-watch-event-1.714790?localLinksEnabled=false&cache=18961415304345%2525252525252Fnews%2525252525252Fohio%2525252525252Fcss%2525252525252Fresults%25252525252525%25252525252527+and+1%2525252525253D1+and+%25252525252527%25252525252525%25252525252527%2525252525posed	14131	{'program': 1, 'update': 1}	{'error': 6}	[]	True
4	134	http://www.ohio.com/writers/bob-dyer/bob-dyer-akron-s-flying-bank-robber-passes-into-history-1.714306?localLinksEnabled=false&cache=18961415304345%2525252525252Fnews%2525252525252Fohio%2525252525252Fcss%2525252525252Fresults%25252525252525%25252525252527+and+1%2525252525253D1+and+%25252525252527%25252525252525%25252525252527%2525252525posed	17745	{'program': 1, 'update': 1}	{'error': 6}	[]	True
5	138	http://www.ohio.com/news/local/man-arrested-in-suspected-shooting-others-charged-with-ignoring-police-orders-1.714726?localLinksEnabled=false&cache=18961415304345%2525252525252Fnews%2525252525252Fohio%2525252525252Fcss%2525252525252Fresults%25252525252525%25252525252527+and+1%2525252525253D1+and+%25252525252527%25252525252525%25252525252527%2525252525posed	11919	{'program': 1, 'update': 1}	{'error': 6}	[]	True
6	144	http://www.ohio.com/news/local/summit-county-addresses-human-trafficking-in-new-juvenile-court-program-that-is-a-first-in-ohio-1.715057?localLinksEnabled=false&cache=18961415304345%25252525252Fnews%25252525252Fohio%25252525252Fcss%2525	16662	{'program': 7, 'update': 1}	{'error': 6}	[]	True
7	151	http://www.ohio.com/news/politics/local/trump-s-tone-rhetoric-drives-clinton-supporters-home-from-local-democratic-watch-event-on-debate-night-1.714789?localLinksEnabled=false&cache=18961415304345%2525252525252Fnews%2525252525252Fohio%2525252525252Fcss%2525252525252Fresults%25252525252525%25252525252527+and+1%2525252525253D1+and+%25252525252527%25252525252525%25252525252527%2525252525posed	15389	{'program': 1, 'update': 1}	{'error': 6}	[]	True
8	229	http://www.arkansasonline.com/news/2016/sep/28/pronounced-error-20160928/	3376	{'computer': 1, 'update': 1, 'server': 1}	{'error': 2, 'problem': 1}	[]	True
9	277	http://www.arkansasonline.com/news/2016/sep/28/emails-add-detail-as-timeline-forms-201/	3460	{'computer': 1, 'application': 1, 'server': 1}	{'defect': 1, 'error': 1}	[]	True
10	280	http://www.irishtimes.com/business/transport-and-tourism/rolls-royce-boss-must-deliver-following-restructuring-1.2808368	4686	{'technology': 1, 'fix': 1, 'update': 1}	{'error': 1, 'problem': 2}	[]	True
11	289	http://www.arkansasonline.com/news/2016/sep/28/board-near-vote-on-divisive-herbicide-2/	4330	{'technology': 5, 'program': 2, 'computer': 1, 'server': 1}	{'error': 1, 'problem': 1}	[]	True
12	317	http://www.sunshinecoastdaily.com.au/news/christmas-countdown-stores-start-stocking-decorati/3094712/	5035	{'program': 1, 'server': 1}	{'error': 3}	[]	True
13	320	http://www.news-mail.com.au/news/fuel-thefts-on-the-rise-in-the-region/3094770/	4802	{'database': 1, 'server': 1}	{'error': 3, 'mistake': 1}	[]	True
14	331	http://www.sunshinecoastdaily.com.au/news/christmas-decorations-out-due-to-demand/3094699/	4753	{'program': 1, 'server': 1}	{'error': 3}	[]	True
15	348	http://www.coffscoastadvocate.com.au/news/support-needed-to-help-hook-important-grant/3094835/	4302	{'application': 2, 'server': 1}	{'error': 3}	[]	True
16	369	http://www.irishtimes.com/news/politics/oireachtas/defence-forces-personnel-overseas-will-keep-receiving-lariam-1.2808383?localLinksEnabled=false	4301	{'fix': 1, 'update': 2}	{'error': 2}	[]	True
17	396	http://www.irishtimes.com/business/transport-and-tourism/rolls-royce-boss-must-deliver-following-restructuring-1.2808368?localLinksEnabled=false	4686	{'technology': 1, 'fix': 1, 'update': 1}	{'error': 1, 'problem': 2}	[]	True
18	434	http://www.newsobserver.com/news/business/article104599686.html	4705	{'technology': 2, 'device': 1, 'fix': 1}	{'outage': 4}	[]	True
19	478	http://www.rediff.com/news/column/uri-attack-former-raw-chief-how-we-can-fix-the-pak-problem/20160928.htm	3663	{'technology': 2, 'fix': 3}	{'failure': 2, 'problem': 4}	['fix the Pak problem', 'fix the Pak problem', 'fix the Pak problem']	True
20	484	http://www.stripes.com/news/navy-mwr-youth-programs-mistakenly-overcharged-at-pacific-bases-1.431295	4335	{'software': 1, 'computer': 2, 'update': 1}	{'glitch': 1, 'error': 2, 'problem': 1}	['computer error', 'computer error']	True
21	504	http://www.newsobserver.com/sports/article104599806.html	4651	{'device': 1, 'fix': 1}	{'bug': 4}	[]	True
22	512	http://www.whitsundaytimes.com.au/news/land-dispute-heats-up/3094826/	4412	{'program': 2, 'application': 1, 'server': 1}	{'error': 3}	[]	True
